iter	Passed	Remaining
0	155	464929
1	233	350618
2	304	303885
3	379	284003
4	423	253769
5	494	246866
6	574	245687
7	659	246603
8	728	242048
9	802	239856
10	885	240481
11	885	240481
12	965	240407
13	1039	238870
14	1119	238627
15	1172	233224
16	1250	233084
17	1329	233162
18	1408	233188
19	1485	232949
20	1576	234833
21	1656	234918
22	3446	466357
23	3524	456028
24	3599	446136
25	3682	438075
26	3768	430863
27	3847	423549
28	3927	416757
29	4013	411084
30	4092	405017
31	4184	400615
32	4234	392662
33	4323	388560
34	4403	383987
35	4458	377577
36	4458	377577
37	4488	369332
38	4573	366011
39	4597	358093
40	4616	350274
41	4696	347326
42	4774	344341
43	4856	341803
44	4934	339125
45	5018	336895
46	5105	335025
47	5182	332564
48	5256	330038
49	5337	328061
50	7126	428880
51	7142	421131
52	7169	414289
53	7251	410838
54	7326	407079
55	7412	404111
56	7470	399766
57	7545	396391
58	7621	393224
59	7692	389913
60	7775	387303
61	7809	382405
62	7888	379798
63	7978	377843
64	8008	373086
65	8096	371186
66	8171	368719
67	8193	364008
68	8279	362193
69	8361	360303
70	8409	356986
71	8495	355361
72	8580	353729
73	8649	351505
74	8673	347549
75	8747	345640
76	8826	344014
77	8908	342495
78	8991	341103
79	9072	339651
80	9153	338217
81	9229	336655
82	9311	335341
83	9393	334042
84	9444	331695
85	9494	329376
86	9575	328168
87	9654	326910
88	9731	325608
89	9814	324552
90	9897	323495
91	9986	322664
92	10062	321432
93	10141	320352
94	10223	319350
95	10305	318379
96	10383	317305
97	10467	316432
98	10562	315887
99	10601	313728
100	10688	313003
101	10769	312107
102	10798	309725
103	10878	308862
104	10958	308002
105	11056	307670
106	11139	306930
107	11219	306107
108	11295	305186
109	11384	304628
110	11471	304050
111	11550	303257
112	11638	302699
113	11718	301954
114	11805	301412
115	11886	300706
116	11983	300417
117	12062	299681
118	12145	299064
119	12231	298526
120	12269	296846
121	12345	296087
122	12429	295542
123	12518	295096
124	12598	294478
125	12681	293922
126	12770	293509
127	12853	292977
128	12935	292429
129	13020	291953
130	13094	291223
131	13183	290854
132	13267	290359
133	13347	289812
134	13439	289513
135	13526	289105
136	13608	288600
137	13694	288182
138	13778	287747
139	13854	287136
140	13944	286821
141	14027	286366
142	14109	285887
143	14191	285436
144	14269	284884
145	14350	284415
146	14436	284056
147	14530	283846
148	14616	283478
149	14694	282974
150	14786	282725
151	14871	282360
152	14965	282161
153	15056	281916
154	15140	281527
155	15229	281258
156	15314	280906
157	15398	280537
158	15481	280145
159	15564	279765
160	15644	279344
161	15734	279089
162	15813	278651
163	15890	278183
164	15969	277749
165	16051	277383
166	16143	277173
167	16220	276730
168	16309	276477
169	16390	276099
170	16470	275713
171	16556	275427
172	16644	275162
173	16738	275014
174	16828	274800
175	16917	274569
176	17001	274265
177	17086	273958
178	17181	273841
179	17266	273544
180	17352	273275
181	17437	272999
182	17518	272643
183	17597	272285
184	17683	272019
185	17763	271664
186	17847	271376
