SR_Number,Status,ACTIVITY,Involved_ST_Function_Div,Involved_Org_line_3,Involved_ST,SR_Latest_Impact,Product,Country,Owner_Country,time_from_start,time_from_previous_event(start),daytime,weekday,# ACTIVITY=In Progress,# ACTIVITY=Awaiting Assignment,# ACTIVITY=Resolved,# ACTIVITY=Assigned,# ACTIVITY=Closed,# ACTIVITY=Wait - User,# ACTIVITY=Wait - Implementation,# ACTIVITY=Wait,# ACTIVITY=Wait - Vendor,# ACTIVITY=In Call,# ACTIVITY=Wait - Customer,# ACTIVITY=Unmatched,# ACTIVITY=Cancelled,lead_time
1-516553982,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,0.0,0.0,10303.472,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,34075.018
1-516553982,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,0.066,0.066,10303.538,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,34075.018
1-516553982,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND,0.487,0.421,10303.959,Friday,2,0,0,0,0,0,0,0,0,0,0,0,0,34075.018
1-516553982,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,512.32,511.833,10815.792,Friday,2,1,0,0,0,0,0,0,0,0,0,0,0,34075.018
1-516553982,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands,512.553,0.233,10816.025,Friday,3,1,0,0,0,0,0,0,0,0,0,0,0,34075.018
1-516553982,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,514.401,1.848,10817.873,Friday,3,2,0,0,0,0,0,0,0,0,0,0,0,34075.018
1-516553982,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,514.604,0.203,10818.076,Friday,4,2,0,0,0,0,0,0,0,0,0,0,0,34075.018
1-516553982,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,761.086,246.482,11064.558,Friday,4,2,0,0,0,1,0,0,0,0,0,0,0,34075.018
1-516553982,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,761.155,0.069,11064.627,Friday,5,2,0,0,0,1,0,0,0,0,0,0,0,34075.018
1-516553982,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,1218.856,457.701,11522.328,Friday,5,2,0,0,0,2,0,0,0,0,0,0,0,34075.018
1-516553982,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND,1219.086,0.23,11522.558,Friday,6,2,0,0,0,2,0,0,0,0,0,0,0,34075.018
