SR_Number,Status,ACTIVITY,Involved_ST_Function_Div,Involved_Org_line_3,Involved_ST,SR_Latest_Impact,Product,Country,Owner_Country,time_from_start,time_from_previous_event(start),daytime,weekday,# ACTIVITY=In Progress,# ACTIVITY=Awaiting Assignment,# ACTIVITY=Resolved,# ACTIVITY=Assigned,# ACTIVITY=Closed,# ACTIVITY=Wait - User,# ACTIVITY=Wait - Implementation,# ACTIVITY=Wait,# ACTIVITY=Wait - Vendor,# ACTIVITY=In Call,# ACTIVITY=Wait - Customer,# ACTIVITY=Unmatched,# ACTIVITY=Cancelled,lead_time
1-467153946,Accepted,In Progress,V3_2,Org line C,S42,Medium,PROD453,se,Sweden,0.0,0.0,4068.742,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,41260.203
1-467153946,Accepted,In Progress,V3_2,Org line C,S42,Medium,PROD453,se,Sweden,0.382,0.382,4069.124,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,41260.203
1-467153946,Queued,Awaiting Assignment,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,0.403,0.021,4069.145,Friday,2,0,0,0,0,0,0,0,0,0,0,0,0,41260.203
1-467153946,Accepted,In Progress,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,6.444,6.041,4075.186,Friday,2,1,0,0,0,0,0,0,0,0,0,0,0,41260.203
1-467153946,Accepted,Wait - User,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,12.333,5.889,4081.075,Friday,3,1,0,0,0,0,0,0,0,0,0,0,0,41260.203
1-467153946,Queued,Awaiting Assignment,C_6,Org line C,O3 3rd,Medium,PROD453,se,Sweden,249.396,237.063,4318.138,Friday,3,1,0,0,0,1,0,0,0,0,0,0,0,41260.203
1-467153946,Accepted,In Progress,C_6,Org line C,O3 3rd,Medium,PROD453,se,Sweden,609.911,360.515,4678.653,Friday,3,2,0,0,0,1,0,0,0,0,0,0,0,41260.203
1-467153946,Accepted,Wait - Implementation,C_6,Org line C,O3 3rd,Medium,PROD453,se,Sweden,609.963,0.052,4678.705,Friday,4,2,0,0,0,1,0,0,0,0,0,0,0,41260.203
1-467153946,Accepted,In Progress,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3196.544,2586.581,7265.286,Friday,4,2,0,0,0,1,1,0,0,0,0,0,0,41260.203
1-467153946,Accepted,Wait - Implementation,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3197.683,1.139,7266.425,Friday,5,2,0,0,0,1,1,0,0,0,0,0,0,41260.203
1-467153946,Accepted,In Progress,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3285.648,87.965,7354.39,Friday,5,2,0,0,0,1,2,0,0,0,0,0,0,41260.203
1-467153946,Accepted,Assigned,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3285.66,0.012,7354.402,Friday,6,2,0,0,0,1,2,0,0,0,0,0,0,41260.203
1-467153946,Accepted,In Progress,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3287.1,1.44,7355.842,Friday,6,2,0,1,0,1,2,0,0,0,0,0,0,41260.203
1-467153946,Accepted,Wait - User,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3287.369,0.269,7356.111,Friday,7,2,0,1,0,1,2,0,0,0,0,0,0,41260.203
1-467153946,Accepted,Wait,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3295.985,8.616,7364.727,Friday,7,2,0,1,0,2,2,0,0,0,0,0,0,41260.203
1-467153946,Accepted,Assigned,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3617.038,321.053,7685.78,Friday,7,2,0,1,0,2,2,1,0,0,0,0,0,41260.203
1-467153946,Accepted,In Progress,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3617.139,0.101,7685.881,Friday,7,2,0,2,0,2,2,1,0,0,0,0,0,41260.203
1-467153946,Accepted,Wait,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3617.193,0.054,7685.935,Friday,8,2,0,2,0,2,2,1,0,0,0,0,0,41260.203
1-467153946,Accepted,In Progress,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,5550.45,1933.257,9619.192,Friday,8,2,0,2,0,2,2,2,0,0,0,0,0,41260.203
1-467153946,Queued,Awaiting Assignment,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,5550.579,0.129,9619.321,Friday,9,2,0,2,0,2,2,2,0,0,0,0,0,41260.203
1-467153946,Accepted,In Progress,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,5609.985,59.406,9678.727,Friday,9,3,0,2,0,2,2,2,0,0,0,0,0,41260.203
1-467153946,Accepted,Assigned,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,5614.528,4.543,9683.27,Friday,10,3,0,2,0,2,2,2,0,0,0,0,0,41260.203
1-467153946,Accepted,In Progress,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,5614.571,0.043,9683.313,Friday,10,3,0,3,0,2,2,2,0,0,0,0,0,41260.203
1-467153946,Accepted,Wait - User,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,5615.785,1.214,9684.527,Friday,11,3,0,3,0,2,2,2,0,0,0,0,0,41260.203
1-467153946,Accepted,In Progress,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,5707.465,91.68,9776.207,Friday,11,3,0,3,0,3,2,2,0,0,0,0,0,41260.203
1-467153946,Accepted,Wait,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,5709.224,1.759,9777.966,Friday,12,3,0,3,0,3,2,2,0,0,0,0,0,41260.203
1-467153946,Accepted,In Progress,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,5795.917,86.693,9864.659,Friday,12,3,0,3,0,3,2,3,0,0,0,0,0,41260.203
1-467153946,Accepted,Wait,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,5796.322,0.405,9865.064,Friday,13,3,0,3,0,3,2,3,0,0,0,0,0,41260.203
1-467153946,Queued,Awaiting Assignment,E_10,Org line C,G137 2nd,Medium,PROD453,se,Sweden,5796.458,0.136,9865.2,Friday,13,3,0,3,0,3,2,4,0,0,0,0,0,41260.203
1-467153946,Accepted,In Progress,E_10,Org line C,G137 2nd,Medium,PROD453,se,Sweden,6145.465,349.007,10214.207,Friday,13,4,0,3,0,3,2,4,0,0,0,0,0,41260.203
1-467153946,Accepted,In Progress,V3_2,Org line C,M25,Medium,PROD453,se,Sweden,16341.376,10195.911,20410.118,Friday,14,4,0,3,0,3,2,4,0,0,0,0,0,41260.203
1-467153946,Accepted,Assigned,V3_2,Org line C,M25,Medium,PROD453,se,Sweden,19350.616,3009.24,23419.358,Friday,15,4,0,3,0,3,2,4,0,0,0,0,0,41260.203
1-467153946,Accepted,In Progress,V3_2,Org line C,M25,Medium,PROD453,se,Sweden,25411.197,6060.581,29479.939,Friday,15,4,0,4,0,3,2,4,0,0,0,0,0,41260.203
