CASE ID,Activity,current
1-516553982,Closed,34075.018
1-529067006,Closed,30360.24
1-529096847,Closed,30352.776
1-530458987,Closed,29863.536
1-532109338,Closed,29240.593
1-536444735,Closed,27860.295
1-536481337,Closed,27854.554
1-541468268,Closed,26114.445
1-543979253,Closed,25279.821
1-544969832,Closed,24404.645
1-557297151,Closed,22684.333
1-597436480,Closed,16581.95
1-603556351,Closed,16129.22
1-606902814,Closed,15341.589
1-613379581,Closed,14740.821
1-617858557,Closed,13866.327
1-620611187,Closed,13312.203
1-623778166,Closed,12734.107
1-630181491,Closed,11310.676
1-636928149,Closed,10676.813
1-638018481,Closed,11363.887
1-638841644,Closed,10099.974
1-642373523,Closed,10084.908
1-642402641,Closed,9991.916
1-642411971,Closed,10427.564
1-643546500,Closed,9972.631
1-643684191,Closed,9812.26
1-647953636,Closed,9803.427
1-649830550,Closed,9824.392
1-649950870,Closed,9470.795
1-650013051,Closed,9726.021
1-651196130,Closed,9278.707
1-653391886,Closed,9164.675
1-656450664,Closed,8754.88
1-657323705,Closed,8585.707
1-657893589,Closed,8331.837
1-657900377,Closed,8191.92
1-658515933,Closed,8431.469
1-659129745,Closed,8610.845
1-683319231,Closed,6359.274
1-686398767,Closed,6820.585
1-686609791,Closed,6510.615
1-687082195,Closed,7110.913
1-687085471,Closed,7110.9
1-687638428,Closed,6938.973
1-687647619,Closed,5989.565
1-687710013,Closed,6483.802
1-689206959,Closed,6361.394
1-690839783,Closed,5796.296
1-691049627,Closed,6162.906
1-691759626,Closed,6465.618
1-691832279,Closed,5840.229
1-692009261,Closed,6626.232
1-692067345,Closed,6407.658
1-692758994,Closed,6750.482
1-693253181,Closed,5646.534
1-693258975,Closed,5560.879
1-693352046,Closed,5644.282
1-693822171,Closed,5122.186
1-693837467,Closed,5345.912
1-694035053,Closed,6628.193
1-694236018,Closed,5069.869
1-694300980,Closed,6014.057
1-694339964,Closed,5923.439
1-694346169,Closed,5576.041
1-694375168,Closed,6562.099
1-694457714,Closed,5253.776
1-694782353,Closed,4888.692
1-694845331,Closed,6436.48
1-694868667,Closed,6436.294
1-694899341,Closed,5565.261
1-694975897,Closed,5296.514
1-695221831,Closed,6444.056
1-695452478,Closed,6429.682
1-695486451,Closed,5302.984
1-696101645,Closed,4539.349
1-696882469,Closed,5129.14
1-696911694,Closed,4526.393
1-696981592,Closed,5030.186
1-697746161,Closed,4812.602
1-697751037,Closed,4750.529
1-697774726,Closed,4982.353
1-698029651,Closed,5824.346
1-698487635,Closed,4273.257
1-698843072,Closed,4440.234
