,0
SR_Number,1-696101645
Status,-243.96167337047817
ACTIVITY,65.83122799255503
Involved_ST_Function_Div,-61.96333613944829
Involved_Org_line_3,-168.7497357615401
Involved_ST,-120.79317897477537
SR_Latest_Impact,944.4893396560182
Product,-483.14052469633384
Country,103.48014836101972
Owner_Country,-351.3243072777221
time_from_start,-398.06214499199393
time_from_previous_event(start),-11.555893630086995
daytime,16073.121144834207
weekday,-7.613840656236228
# ACTIVITY=In Progress,15.122704884954542
# ACTIVITY=Awaiting Assignment,13.542003586279371
# ACTIVITY=Resolved,4.432661076344557
# ACTIVITY=Assigned,45.589951932551905
# ACTIVITY=Closed,2.781748037350894
# ACTIVITY=Wait - User,11.803536055810415
# ACTIVITY=Wait - Implementation,6.046271801044187
# ACTIVITY=Wait,24.033001236128996
# ACTIVITY=Wait - Vendor,1.6646340352925888
# ACTIVITY=In Call,0.8198576410474653
# ACTIVITY=Wait - Customer,0.42115575291612484
# ACTIVITY=Unmatched,-1.5019945491569768e-05
# ACTIVITY=Cancelled,0.0
