,0
SR_Number,1-700431220
Status,-273.11149265311474
ACTIVITY,10.193122706290689
Involved_ST_Function_Div,-1.5332753220991453
Involved_Org_line_3,-263.9891777412909
Involved_ST,-145.48304682808433
SR_Latest_Impact,-437.07876891507703
Product,-276.710585453142
Country,108.78470960880023
Owner_Country,-374.7215597149656
time_from_start,-506.24915850801744
time_from_previous_event(start),-7.722797330679473
daytime,14920.998778461302
weekday,-6.256803725023921
# ACTIVITY=In Progress,-40.298969398129096
# ACTIVITY=Awaiting Assignment,8.527897516031885
# ACTIVITY=Resolved,3.5915608752774544
# ACTIVITY=Assigned,35.49237053517557
# ACTIVITY=Closed,3.210046776616996
# ACTIVITY=Wait - User,36.20399891664982
# ACTIVITY=Wait - Implementation,6.737188368386201
# ACTIVITY=Wait,25.554058092314268
# ACTIVITY=Wait - Vendor,1.3943663252694272
# ACTIVITY=In Call,-0.0604155637965433
# ACTIVITY=Wait - Customer,0.4474811331750659
# ACTIVITY=Unmatched,-1.5019945491569768e-05
# ACTIVITY=Cancelled,0.0
