,0
SR_Number,1-716410529
Status,-242.3214728063079
ACTIVITY,47.98981661931612
Involved_ST_Function_Div,-201.7594703485591
Involved_Org_line_3,-91.0029835696548
Involved_ST,-71.06565939371296
SR_Latest_Impact,-664.4217684967073
Product,-668.1945527578343
Country,-1188.3036720059383
Owner_Country,-349.2304229839528
time_from_start,-450.83230392561796
time_from_previous_event(start),2.9270044208128487
daytime,13088.612274720219
weekday,-6.1639648286099185
# ACTIVITY=In Progress,-7.240484369719651
# ACTIVITY=Awaiting Assignment,-4.951128279288968
# ACTIVITY=Resolved,2.932342281759885
# ACTIVITY=Assigned,-33.91511707707413
# ACTIVITY=Closed,1.7904698463746218
# ACTIVITY=Wait - User,14.820853743660118
# ACTIVITY=Wait - Implementation,5.4101213925513685
# ACTIVITY=Wait,14.598841627755125
# ACTIVITY=Wait - Vendor,1.1122965416407877
# ACTIVITY=In Call,0.5343759693693841
# ACTIVITY=Wait - Customer,0.5051746570929581
# ACTIVITY=Unmatched,-8.340195556349713e-07
# ACTIVITY=Cancelled,0.0
