,0
SR_Number,1-717770354
Status,-325.7698800158476
ACTIVITY,7.048858862327666
Involved_ST_Function_Div,-99.07981793605818
Involved_Org_line_3,-317.8112731420339
Involved_ST,-17.611583790283245
SR_Latest_Impact,-49.77501936164338
Product,-575.0418723016509
Country,-573.5051141334977
Owner_Country,-465.11970979250435
time_from_start,-524.5361395673657
time_from_previous_event(start),10.466184623173183
daytime,14485.506918250747
weekday,-6.483890269257805
# ACTIVITY=In Progress,30.456793165951986
# ACTIVITY=Awaiting Assignment,41.98727487366342
# ACTIVITY=Resolved,5.7985674498967406
# ACTIVITY=Assigned,21.703251602123313
# ACTIVITY=Closed,1.5923817704824677
# ACTIVITY=Wait - User,8.413446910711546
# ACTIVITY=Wait - Implementation,9.436840340602476
# ACTIVITY=Wait,27.62380218345903
# ACTIVITY=Wait - Vendor,1.1025534908099537
# ACTIVITY=In Call,0.1522028572360061
# ACTIVITY=Wait - Customer,0.45604743703136713
# ACTIVITY=Unmatched,3.7774435316961366e-06
# ACTIVITY=Cancelled,0.0
