,0
SR_Number,1-720397707
Status,-280.14386114286793
ACTIVITY,38.86145075486467
Involved_ST_Function_Div,34.97875378517196
Involved_Org_line_3,-122.94896288897127
Involved_ST,-36.23161023640718
SR_Latest_Impact,-370.45033998951766
Product,81.89380451089492
Country,172.21794413334155
Owner_Country,-181.66040718949972
time_from_start,-509.2983509985891
time_from_previous_event(start),-6.712214417030417
daytime,15243.345376728907
weekday,-7.016973037192497
# ACTIVITY=In Progress,10.7856431530886
# ACTIVITY=Awaiting Assignment,43.0819772980872
# ACTIVITY=Resolved,3.2303110211507677
# ACTIVITY=Assigned,44.72718062514469
# ACTIVITY=Closed,3.2933120283915853
# ACTIVITY=Wait - User,31.590449276897555
# ACTIVITY=Wait - Implementation,10.276537041657754
# ACTIVITY=Wait,29.013741803631664
# ACTIVITY=Wait - Vendor,1.7063397031278469
# ACTIVITY=In Call,0.41680847845903723
# ACTIVITY=Wait - Customer,0.5132626855785261
# ACTIVITY=Unmatched,-2.766447542783964e-06
# ACTIVITY=Cancelled,0.0
