,0
SR_Number,1-727104891
Status,-218.227055544911
ACTIVITY,20.744710131175292
Involved_ST_Function_Div,-12.503877558391393
Involved_Org_line_3,-255.85811568192926
Involved_ST,-127.85014117544364
SR_Latest_Impact,-678.0557163287097
Product,-169.0698356521511
Country,-44.47301719494568
Owner_Country,-476.5836080095841
time_from_start,-335.7010288786069
time_from_previous_event(start),32.222008202320794
daytime,14704.867545314864
weekday,-6.2339131686190115
# ACTIVITY=In Progress,-26.870442334327347
# ACTIVITY=Awaiting Assignment,4.326344930661562
# ACTIVITY=Resolved,3.5959109670113354
# ACTIVITY=Assigned,26.11117218032061
# ACTIVITY=Closed,2.9529450710416083
# ACTIVITY=Wait - User,26.291050615832884
# ACTIVITY=Wait - Implementation,7.1857313418067905
# ACTIVITY=Wait,17.71151689844359
# ACTIVITY=Wait - Vendor,1.2534506449152645
# ACTIVITY=In Call,0.2838237196717785
# ACTIVITY=Wait - Customer,0.3856452765128954
# ACTIVITY=Unmatched,-6.465696898326552e-05
# ACTIVITY=Cancelled,0.0
