,0
SR_Number,1-728261720
Status,-323.0923586533557
ACTIVITY,-28.44619092823525
Involved_ST_Function_Div,-68.49909665488455
Involved_Org_line_3,-178.74857528592872
Involved_ST,-94.332027229299
SR_Latest_Impact,-396.07270224712306
Product,-401.48628094858805
Country,89.82461368917977
Owner_Country,-204.565146328944
time_from_start,-467.26806770711136
time_from_previous_event(start),-8.248845463552541
daytime,14849.200866799207
weekday,-5.757830681573542
# ACTIVITY=In Progress,15.331212306553674
# ACTIVITY=Awaiting Assignment,39.9459355709679
# ACTIVITY=Resolved,4.094189321135271
# ACTIVITY=Assigned,42.63104734827737
# ACTIVITY=Closed,3.3414619803583276
# ACTIVITY=Wait - User,17.343288278742115
# ACTIVITY=Wait - Implementation,6.078125288048507
# ACTIVITY=Wait,26.35206808423937
# ACTIVITY=Wait - Vendor,1.4077416616173068
# ACTIVITY=In Call,-0.07620506387733836
# ACTIVITY=Wait - Customer,0.5339001643132422
# ACTIVITY=Unmatched,-2.766447542783964e-06
# ACTIVITY=Cancelled,0.0
